BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT;TRADINGSESSION
TQCB;2021-09-03;Башнефть08;RU000A0JTM44;3;13058.0;100.4;100.59;100.59;100.59;6.54;100.45;7.37;100.41;13;;100.68;100.59;0.0;631246.4;0.0;2023-01-31;495.0;7.48;;;7.7;38.39;;2021-09-03;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;Башнефть09;RU000A0JTM51;1;988.1;98.81;98.81;98.81;98.81;4.67;98.25;6.99;98.81;1;98.25;98.25;98.81;26234780.4;26218988.1;26234780.4;2023-01-31;328.0;7.67;;;5.5;27.42;2022-08-02;2021-09-03;1000.0;SUR;;6.8017;;2022-08-08;RUB;3
TQCB;2021-09-03;РусГидро07;RU000A0JTMG7;6;14920.8;92.57;95.2;92.57;92.57;0.08;93.26;5.74;95.2;16;;97.72;92.57;0.0;502291.3;0.0;2023-02-02;517.0;5.19;;;0.1;0.5;;2021-09-03;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;РусГидро08;RU000A0JTMK9;31;84323.8;91.65;96.36;91.67;94.42;0.08;94.75;6.48;94.62;89;;93.74;94.42;0.0;500550.5;0.0;2023-02-02;517.0;4.01;;;0.1;0.5;;2021-09-03;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;Роснефть07;RU000A0JTS06;6;362942.6;100.26;100.27;100.27;100.27;35.0;100.26;7.23;100.26;362;100.26;100.26;100.27;535364.8;519327.3;535364.8;2023-03-10;516.0;7.24;;;7.3;36.4;;2021-09-03;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;Роснефть08;RU000A0JTS22;4;7059.1;100.75;100.86;100.75;100.75;35.0;100.84;6.88;100.86;7;;100.35;100.75;0.0;504779.1;0.0;2023-03-10;516.0;6.82;;;7.3;36.4;;2021-09-03;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;МТС БО-01;RU000A0JTTA5;2;1983.7;99.18;99.19;99.19;99.19;29.03;99.19;7.19;99.18;2;;99.47;99.19;0.0;500333.1;0.0;2023-03-22;531.0;7.19;;;6.5;32.41;;2021-09-03;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;РЖД-28 обл;RU000A0JTU85;9;447871.9;98.65;98.67;98.65;98.65;29.25;98.65;7.52;98.66;454;98.74;98.74;98.65;662571.2;657624.7;662571.2;2028-03-21;848.0;7.52;;;6.8;33.91;2024-03-26;2021-09-03;1000.0;SUR;;7.4745;;2024-03-29;RUB;3
TQCB;2021-09-03;ОбКонФ БО1;RU000A0JTV50;0;0.0;;;;100.23;28.96;;6.95;;0;;;100.23;0.0;0.0;0.0;2023-04-03;;;;;7.0;34.9;;;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;РСХБ 20;RU000A0JTVJ2;1;1009.8;100.98;100.98;100.98;100.98;32.52;100.98;6.69;100.98;1;100.65;100.65;100.98;805103409.7;96769963.7;805103409.7;2023-04-11;214.0;6.69;;;8.3;41.39;2022-04-12;2021-09-03;1000.0;SUR;;6.5362;;2022-04-14;RUB;3
TQCB;2021-09-03;ДОМ.РФ25об;RU000A0JTW83;0;0.0;;;;100.0;10.92;;6.33;;0;;;100.0;0.0;0.0;0.0;2026-10-01;;;;;6.23;15.7;2021-10-01;2021-08-13;1000.0;SUR;;;;2022-01-11;RUB;3
